statistics,team.id,team.name,team.logo
"[{'type': 'Shots on Goal', 'value': 8}, {'type': 'Shots off Goal', 'value': 3}, {'type': 'Total Shots', 'value': 14}, {'type': 'Blocked Shots', 'value': 3}, {'type': 'Shots insidebox', 'value': 8}, {'type': 'Shots outsidebox', 'value': 6}, {'type': 'Fouls', 'value': 17}, {'type': 'Corner Kicks', 'value': 2}, {'type': 'Offsides', 'value': 1}, {'type': 'Ball Possession', 'value': '53%'}, {'type': 'Yellow Cards', 'value': 1}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 3}, {'type': 'Total passes', 'value': 503}, {'type': 'Passes accurate', 'value': 402}, {'type': 'Passes %', 'value': '80%'}, {'type': 'expected_goals', 'value': '1.30'}, {'type': 'goals_prevented', 'value': 0}]",65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png
"[{'type': 'Shots on Goal', 'value': 4}, {'type': 'Shots off Goal', 'value': 6}, {'type': 'Total Shots', 'value': 13}, {'type': 'Blocked Shots', 'value': 3}, {'type': 'Shots insidebox', 'value': 6}, {'type': 'Shots outsidebox', 'value': 7}, {'type': 'Fouls', 'value': 8}, {'type': 'Corner Kicks', 'value': 6}, {'type': 'Offsides', 'value': 4}, {'type': 'Ball Possession', 'value': '47%'}, {'type': 'Yellow Cards', 'value': 3}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 7}, {'type': 'Total passes', 'value': 432}, {'type': 'Passes accurate', 'value': 335}, {'type': 'Passes %', 'value': '78%'}, {'type': 'expected_goals', 'value': '1.22'}, {'type': 'goals_prevented', 'value': 0}]",35,Bournemouth,https://media.api-sports.io/football/teams/35.png
"[{'type': 'Shots on Goal', 'value': 3}, {'type': 'Shots off Goal', 'value': 7}, {'type': 'Total Shots', 'value': 14}, {'type': 'Blocked Shots', 'value': 4}, {'type': 'Shots insidebox', 'value': 11}, {'type': 'Shots outsidebox', 'value': 3}, {'type': 'Fouls', 'value': 18}, {'type': 'Corner Kicks', 'value': 5}, {'type': 'Offsides', 'value': 1}, {'type': 'Ball Possession', 'value': '52%'}, {'type': 'Yellow Cards', 'value': 1}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 1}, {'type': 'Total passes', 'value': 417}, {'type': 'Passes accurate', 'value': 352}, {'type': 'Passes %', 'value': '84%'}, {'type': 'expected_goals', 'value': '2.46'}, {'type': 'goals_prevented', 'value': 0}]",48,West Ham,https://media.api-sports.io/football/teams/48.png
"[{'type': 'Shots on Goal', 'value': 3}, {'type': 'Shots off Goal', 'value': 6}, {'type': 'Total Shots', 'value': 15}, {'type': 'Blocked Shots', 'value': 6}, {'type': 'Shots insidebox', 'value': 10}, {'type': 'Shots outsidebox', 'value': 5}, {'type': 'Fouls', 'value': 11}, {'type': 'Corner Kicks', 'value': 3}, {'type': 'Offsides', 'value': 1}, {'type': 'Ball Possession', 'value': '48%'}, {'type': 'Yellow Cards', 'value': 2}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 3}, {'type': 'Total passes', 'value': 394}, {'type': 'Passes accurate', 'value': 329}, {'type': 'Passes %', 'value': '84%'}, {'type': 'expected_goals', 'value': '2.03'}, {'type': 'goals_prevented', 'value': 0}]",66,Aston Villa,https://media.api-sports.io/football/teams/66.png
"[{'type': 'Shots on Goal', 'value': 5}, {'type': 'Shots off Goal', 'value': 3}, {'type': 'Total Shots', 'value': 9}, {'type': 'Blocked Shots', 'value': 1}, {'type': 'Shots insidebox', 'value': 8}, {'type': 'Shots outsidebox', 'value': 1}, {'type': 'Fouls', 'value': 6}, {'type': 'Corner Kicks', 'value': 4}, {'type': 'Offsides', 'value': 1}, {'type': 'Ball Possession', 'value': '46%'}, {'type': 'Yellow Cards', 'value': 1}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 6}, {'type': 'Total passes', 'value': 403}, {'type': 'Passes accurate', 'value': 311}, {'type': 'Passes %', 'value': '77%'}, {'type': 'expected_goals', 'value': '1.59'}, {'type': 'goals_prevented', 'value': 1}]",55,Brentford,https://media.api-sports.io/football/teams/55.png
"[{'type': 'Shots on Goal', 'value': 6}, {'type': 'Shots off Goal', 'value': 4}, {'type': 'Total Shots', 'value': 14}, {'type': 'Blocked Shots', 'value': 4}, {'type': 'Shots insidebox', 'value': 6}, {'type': 'Shots outsidebox', 'value': 8}, {'type': 'Fouls', 'value': 15}, {'type': 'Corner Kicks', 'value': 7}, {'type': 'Offsides', 'value': 3}, {'type': 'Ball Possession', 'value': '54%'}, {'type': 'Yellow Cards', 'value': 5}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 3}, {'type': 'Total passes', 'value': 481}, {'type': 'Passes accurate', 'value': 389}, {'type': 'Passes %', 'value': '81%'}, {'type': 'expected_goals', 'value': '1.17'}, {'type': 'goals_prevented', 'value': 1}]",52,Crystal Palace,https://media.api-sports.io/football/teams/52.png
"[{'type': 'Shots on Goal', 'value': 3}, {'type': 'Shots off Goal', 'value': 3}, {'type': 'Total Shots', 'value': 10}, {'type': 'Blocked Shots', 'value': 4}, {'type': 'Shots insidebox', 'value': 6}, {'type': 'Shots outsidebox', 'value': 4}, {'type': 'Fouls', 'value': 12}, {'type': 'Corner Kicks', 'value': 4}, {'type': 'Offsides', 'value': 2}, {'type': 'Ball Possession', 'value': '48%'}, {'type': 'Yellow Cards', 'value': 1}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 3}, {'type': 'Total passes', 'value': 490}, {'type': 'Passes accurate', 'value': 436}, {'type': 'Passes %', 'value': '89%'}, {'type': 'expected_goals', 'value': '1.01'}, {'type': 'goals_prevented', 'value': 0}]",49,Chelsea,https://media.api-sports.io/football/teams/49.png
"[{'type': 'Shots on Goal', 'value': 5}, {'type': 'Shots off Goal', 'value': 3}, {'type': 'Total Shots', 'value': 11}, {'type': 'Blocked Shots', 'value': 3}, {'type': 'Shots insidebox', 'value': 6}, {'type': 'Shots outsidebox', 'value': 5}, {'type': 'Fouls', 'value': 9}, {'type': 'Corner Kicks', 'value': 3}, {'type': 'Offsides', 'value': 1}, {'type': 'Ball Possession', 'value': '52%'}, {'type': 'Yellow Cards', 'value': 1}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 3}, {'type': 'Total passes', 'value': 535}, {'type': 'Passes accurate', 'value': 477}, {'type': 'Passes %', 'value': '89%'}, {'type': 'expected_goals', 'value': '0.77'}, {'type': 'goals_prevented', 'value': 0}]",50,Manchester City,https://media.api-sports.io/football/teams/50.png
"[{'type': 'Shots on Goal', 'value': 3}, {'type': 'Shots off Goal', 'value': 3}, {'type': 'Total Shots', 'value': 7}, {'type': 'Blocked Shots', 'value': 1}, {'type': 'Shots insidebox', 'value': 6}, {'type': 'Shots outsidebox', 'value': 1}, {'type': 'Fouls', 'value': 11}, {'type': 'Corner Kicks', 'value': 2}, {'type': 'Offsides', 'value': 2}, {'type': 'Ball Possession', 'value': '30%'}, {'type': 'Yellow Cards', 'value': 1}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 5}, {'type': 'Total passes', 'value': 275}, {'type': 'Passes accurate', 'value': 211}, {'type': 'Passes %', 'value': '77%'}, {'type': 'expected_goals', 'value': '1.05'}, {'type': 'goals_prevented', 'value': 0}]",46,Leicester,https://media.api-sports.io/football/teams/46.png
"[{'type': 'Shots on Goal', 'value': 7}, {'type': 'Shots off Goal', 'value': 3}, {'type': 'Total Shots', 'value': 15}, {'type': 'Blocked Shots', 'value': 5}, {'type': 'Shots insidebox', 'value': 12}, {'type': 'Shots outsidebox', 'value': 3}, {'type': 'Fouls', 'value': 12}, {'type': 'Corner Kicks', 'value': 13}, {'type': 'Offsides', 'value': 1}, {'type': 'Ball Possession', 'value': '70%'}, {'type': 'Yellow Cards', 'value': 1}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 2}, {'type': 'Total passes', 'value': 671}, {'type': 'Passes accurate', 'value': 601}, {'type': 'Passes %', 'value': '90%'}, {'type': 'expected_goals', 'value': '1.18'}, {'type': 'goals_prevented', 'value': 0}]",47,Tottenham,https://media.api-sports.io/football/teams/47.png
