Fixture ID,Date,Status,Home Team,Away Team,Home Score,Away Score,League,Country
587346,2021-01-29T19:30:00+00:00,Match Finished,VfB Stuttgart,FSV Mainz 05,2.0,0.0,Bundesliga,Germany
581342,2021-01-29T19:45:00+00:00,Match Finished,Antwerp,Waasland-beveren,3.0,2.0,Jupiler Pro League,Belgium
608726,2021-01-29T19:45:00+00:00,Match Finished,Torino,Fiorentina,1.0,1.0,Serie A,Italy
634965,2021-01-29T19:45:00+00:00,Match Finished,Larne,Glentoran,1.0,1.0,Premiership,Northern-Ireland
656906,2021-01-29T19:45:00+00:00,Match Finished,SC Braga,Santa Clara,2.0,1.0,Taça de Portugal,Portugal
324155,2021-01-29T20:00:00+00:00,Match Finished,Fenix,Plaza Colonia,3.0,3.0,Primera División - Clausura,Uruguay
328743,2021-01-29T20:00:00+00:00,Match Finished,Sampaio Correa,Oeste,1.0,0.0,Serie B,Brazil
571686,2021-01-29T20:00:00+00:00,Match Finished,Lyon,Bordeaux,2.0,1.0,Ligue 1,France
573684,2021-01-29T20:00:00+00:00,Match Finished,De Graafschap,FC OSS,2.0,1.0,Eerste Divisie,Netherlands
573685,2021-01-29T20:00:00+00:00,Match Finished,NEC Nijmegen,Jong Utrecht,2.0,0.0,Eerste Divisie,Netherlands
593197,2021-01-29T20:00:00+00:00,Match Finished,Reading,Bournemouth,3.0,1.0,Championship,England
605273,2021-01-29T20:00:00+00:00,Match Finished,Valladolid,Huesca,1.0,3.0,La Liga,Spain
606938,2021-01-29T20:00:00+00:00,Match Finished,Zaragoza,Ponferradina,1.0,0.0,Segunda División,Spain
628179,2021-01-29T20:00:00+00:00,Match Finished,Vicenza Virtus,Venezia,0.0,0.0,Serie B,Italy
652144,2021-01-29T20:00:00+00:00,Match Finished,Santa Lucía,Sliema Wanderers,0.0,1.0,Premier League,Malta
658492,2021-01-29T20:45:00+00:00,Match Finished,GIL Vicente,FC Porto,0.0,2.0,Taça de Portugal,Portugal
653737,2021-01-29T21:15:00+00:00,Match Finished,Aserri FC,CS Uruguay,0.0,1.0,Liga de Ascenso,Costa-Rica
661194,2021-01-29T21:30:00+00:00,Match Finished,Mazorqueros,Leones Negros,1.0,0.0,Liga Premier Serie A,Mexico
652983,2021-01-29T21:45:00+00:00,Match Finished,Necaxa W,Pumas UNAM W,1.0,1.0,Liga MX Femenil,Mexico
645537,2021-01-29T22:00:00+00:00,Match Finished,Coquimbo Unido,Universidad de Chile,0.0,1.0,Primera División,Chile
658518,2021-01-29T22:00:00+00:00,Match Finished,Municipal Jalapa U20,Walter Ferretti U20,3.0,3.0,Liga Primera U20,Nicaragua
658519,2021-01-29T22:00:00+00:00,Match Finished,CD Junior Managua U20,Deportivo Ocotal U20,5.0,3.0,Liga Primera U20,Nicaragua
658520,2021-01-29T22:00:00+00:00,Match Finished,Juventus Managua U20,Diriangén U20,1.0,1.0,Liga Primera U20,Nicaragua
324160,2021-01-29T22:15:00+00:00,Match Finished,Boston River,Cerro Largo,2.0,1.0,Primera División - Clausura,Uruguay
328737,2021-01-29T22:15:00+00:00,Match Finished,CRB,Cuiaba,4.0,1.0,Serie B,Brazil
328739,2021-01-29T22:15:00+00:00,Match Finished,Botafogo SP,Operario-PR,0.0,1.0,Serie B,Brazil
656228,2021-01-29T23:00:00+00:00,Match Finished,Jaguares,Alianza Petrolera,2.0,0.0,Primera A,Colombia
653554,2021-01-29T23:30:00+00:00,Match Finished,Atlante FC,Tlaxcala,2.0,1.0,Liga de Expansión MX,Mexico
